deliverable_id	evidence_sha256	production_sha256	finalization_sha256	mappings	covered_lines	total_lines	verdict
DEL-09-01	027dbcebb89a04b71ce554afbbeb30d826ba89c6589428d66004cf8f0a73f48d	fe691b3f75fa90c28619ffb61f1d4bdabe15640c54ae355abf5f92327c836908	3db4ba8e6837d4efbca8e6017f53c53fcb177b18a4e248b32364d139ae37aed4	36	270	270	PASS
DEL-09-02	f517500d035af4f6bf6531d86771bd6a51b637cd7a81fc167413e5908928944d	d28109b059328ce938bba9a286e6ffbe014b80dcad4a2949dafef313ea3c3c23	66c21bebd2b47166236146d96c482f57ee10e8b1f5226feb692d5052b152b3dd	33	253	253	PASS
DEL-09-03	b037c6c72152da88c45564b34cfe552eac9c67520a4b0833a28e0d43b5107319	496fdb82e3c7b026d19c828dab0b864ff9bbfaee0953e205b06dd2fc80dcea40	80cd70d3529e532b7debd0ce83ae675363d8ef9042b5c22bc4a02ba3ab064fc0	31	275	275	PASS
DEL-09-04	46e8fbe2b83204ebc24663a8546ee914e44ed62c0916d20f430e78e955bb6bff	f8d63d1c20c52a869c75bf0e139922dd1006eaeb70d43108758dcfbb3c9c5135	7258f898c9ca73b41972e9c2366b3b85b33d483e5001814171aaecb9a2a97be3	28	267	267	PASS
DEL-09-05	cb6e3c4ce404148acd4577498147a513b1591c318df3121c80799531600ee950	e398d741a5c51ff5ab52f525b235fb92c54a34ae0455fe59dbe787ba0a459f6b	9145b615c6a44bde20ded4121678548cfa2803a2458bb6ad8679b5cf631ee351	34	292	292	PASS
