artifact	sha256_a	sha256_b	byte_identical
claim_map	bd95011a83f07ba2fe3e4d6b8c95a438eaf381cea730de4e87876a7b5bae7fbe	bd95011a83f07ba2fe3e4d6b8c95a438eaf381cea730de4e87876a7b5bae7fbe	true
parity_json	7a21e786edfc3d6fc3636568bd465739e5393a5a3eb8ca252757b256fe850724	7a21e786edfc3d6fc3636568bd465739e5393a5a3eb8ca252757b256fe850724	true
checklist	6a001396117291316baf95cbf6c8f13214db91767b53b7b6470bdf5b122996db	6a001396117291316baf95cbf6c8f13214db91767b53b7b6470bdf5b122996db	true
render_html	8da6ab36a68d8e900740bb1a0972e7bf98136bc23f7ae3c77df9c6dd2b694c80	8da6ab36a68d8e900740bb1a0972e7bf98136bc23f7ae3c77df9c6dd2b694c80	true
